number,taxonomy,species,cool_name
9813,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Afrotheria|Hyracoidea|Procaviidae|Procavia,Procavia,afrotheria
9361,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Xenarthra|Cingulata|Dasypodidae|Dasypus,Dasypus,Dasypus novemcinctus
9358,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Xenarthra|Pilosa|Folivora|Megalonychidae|Choloepus,Choloepus,xenarthra
42254,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Insectivora|Soricidae|Soricinae|Sorex,Sorex,Sorex araneus
9365,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Insectivora|Erinaceidae|Erinaceinae|Erinaceus,Erinaceus,insectivora
9615,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Carnivora|Caniformia|Canidae|Canis|Canis lupus,Canis lupus,Canis lupus
9685,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Carnivora|Feliformia|Felidae|Felinae|Felis,Felis,carnivora
132908,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Chiroptera|Megachiroptera|Pteropodidae|Pteropodinae|Pteropus,Pteropus,Pteropus vampyrus
59463,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Chiroptera|Microchiroptera|Vespertilionidae|Myotis,Myotis,laurasiatheria
9796,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Perissodactyla|Equidae|Equus|Equus subg.,Equus subg.,Equus caballus
30538,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Cetartiodactyla|Tylopoda|Camelidae|Lama,Lama,Lama pacos
9823,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Cetartiodactyla|Suina|Suidae|Sus,Sus,Sus scrofa
9913,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Cetartiodactyla|Ruminantia|Pecora|Bovidae|Bovinae|Bos,Bos,Bos taurus
9739,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Laurasiatheria|Cetartiodactyla|Cetacea|Odontoceti|Delphinidae|Tursiops,Tursiops,laurasiatheria
37347,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Scandentia|Tupaiidae|Tupaia,Tupaia,Tupaia belangeri
9986,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Lagomorpha|Leporidae|Oryctolagus,Oryctolagus,Oryctolagus cuniculus
9978,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Lagomorpha|Ochotonidae|Ochotona,Ochotona,lagomorpha
43179,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Rodentia|Sciurognathi|Sciuridae|Xerinae|Marmotini|Spermophilus,Spermophilus,Spermophilus tridecemlineatus
10141,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Rodentia|Hystricognathi|Caviidae|Cavia,Cavia,Cavia porcellus
10020,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Rodentia|Sciurognathi|Heteromyidae|Dipodomyinae|Dipodomys,Dipodomys,Dipodomys ordii
10090,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Rodentia|Sciurognathi|Muroidea|Muridae|Murinae|Mus|Mus,Mus,Mus musculus
10116,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Glires|Rodentia|Sciurognathi|Muroidea|Muridae|Murinae|Rattus,Rattus,euarchontoglires
30611,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Strepsirrhini|Lorisiformes|Galagidae|Otolemur,Otolemur,Otolemur garnettii
30608,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Strepsirrhini|Lemuriformes|Cheirogaleidae|Microcebus,Microcebus,strepsirrhini
9478,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Tarsiiformes|Tarsiidae|Tarsius,Tarsius,Tarsius syrichta
9483,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Cebidae|Callitrichinae|Callithrix,Callithrix,Callithrix jacchus
9544,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Macaca,Macaca,Macaca mulatta
9600,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Hominoidea|Hominidae|Ponginae|Pongo,Pongo,Pongo pygmaeus
9593,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Hominoidea|Hominidae|Homininae|Gorilla,Gorilla,Gorilla gorilla
9606,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Hominoidea|Hominidae|Homininae|Homo,Homo,Homo sapiens
9598,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Hominoidea|Hominidae|Homininae|Pan,Pan,fungi/metazoa group
278021,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Microsporidia|Microsporidia incertae|Antonospora,Antonospora,Antonospora locustae
481877,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Microsporidia|Apansporoblastina|Enterocytozoonidae|Enterocytozoon|Enterocytozoon bieneusi,Enterocytozoon bieneusi,Enterocytozoon bieneusi
284813,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Microsporidia|Apansporoblastina|Unikaryonidae|Encephalitozoon|Encephalitozoon cuniculi,Encephalitozoon cuniculi,Encephalitozoon cuniculi
578460,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Microsporidia|Apansporoblastina|Nosematidae|Nosema|Nosema ceranae,Nosema ceranae,microsporidia
109760,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Chytridiomycota|Chytridiomycetes|Spizellomycetales|Spizellomycetaceae|Spizellomyces,Spizellomyces,Spizellomyces punctatus
109871,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Chytridiomycota|Chytridiomycetes|Chytridiales|Chytridiales incertae|Batrachochytrium,Batrachochytrium,chytridiomycetes
4837,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Fungi incertae|Basal fungal|Mucoromycotina|Mucorales|Mucoraceae|Phycomyces,Phycomyces,Phycomyces blakesleeanus
64495,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Fungi incertae|Basal fungal|Mucoromycotina|Mucorales|Mucoraceae|Rhizopus,Rhizopus,Rhizopus oryzae
36080,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Fungi incertae|Basal fungal|Mucoromycotina|Mucorales|Mucoraceae|Mucor,Mucor,fungi
76773,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Exobasidiomycetes|Malasseziales|Malasseziaceae|Malassezia,Malassezia,Malassezia globosa
237631,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Ustilaginomycetes|Ustilaginales|Ustilaginaceae|Ustilago|Ustilago maydis,Ustilago maydis,ustilaginomycotina
40563,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Microbotryomycetes|Sporidiobolales|mitosporic Sporidiobolales|Sporobolomyces,Sporobolomyces,Sporobolomyces roseus
203908,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Pucciniomycetes|Pucciniales|Melampsoraceae|Melampsora,Melampsora,Melampsora larici-populina
5297,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia,Puccinia,pucciniomycotina
214684,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Tremellomycetes|Tremellales|Tremellaceae|Filobasidiella|Filobasidiella/Cryptococcus neoformans|Cryptococcus neoformans|Cryptococcus neoformans,Cryptococcus neoformans,Cryptococcus neoformans
5217,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Tremellomycetes|Tremellales|Tremellaceae|Tremella,Tremella,tremellaceae
13563,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetes incertae|Russulales|Bondarzewiaceae|Heterobasidion|Heterobasidion annosum,Heterobasidion annosum,Heterobasidion annosum
5306,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetes incertae|Corticiales|Corticiaceae|Phanerochaete,Phanerochaete,Phanerochaete chrysosporium
104341,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetes incertae|Polyporales|Coriolaceae|Postia,Postia,agaricomycetes incertae sedis
5334,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Schizophyllaceae|Schizophyllum,Schizophyllum,Schizophyllum commune
5322,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Pleurotaceae|Pleurotus,Pleurotus,Pleurotus ostreatus
29883,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae|Laccaria,Laccaria,Laccaria bicolor
5346,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Psathyrellaceae|Coprinopsis,Coprinopsis,basidiomycota
402676,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Schizosaccharomycetes|Schizosaccharomycetales|Schizosaccharomycetaceae|Schizosaccharomyces|Schizosaccharomyces japonicus,Schizosaccharomyces japonicus,Schizosaccharomyces japonicus
284812,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Schizosaccharomycetes|Schizosaccharomycetales|Schizosaccharomycetaceae|Schizosaccharomyces|Schizosaccharomyces pombe,Schizosaccharomyces pombe,Schizosaccharomyces pombe
483514,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Schizosaccharomycetes|Schizosaccharomycetales|Schizosaccharomycetaceae|Schizosaccharomyces|Schizosaccharomyces octosporus,Schizosaccharomyces octosporus,schizosaccharomyces
284591,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Dipodascaceae|Yarrowia|Yarrowia lipolytica,Yarrowia lipolytica,Yarrowia lipolytica
4922,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Pichia,Pichia,Pichia pastoris
36911,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Metschnikowiaceae|Clavispora,Clavispora,Clavispora lusitaniae
284592,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Debaryomyces|Debaryomyces hansenii|Debaryomyces hansenii,Debaryomyces hansenii,Debaryomyces hansenii
294746,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Meyerozyma|Meyerozyma guilliermondii,Meyerozyma guilliermondii,debaryomycetaceae
322104,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Scheffersomyces|Scheffersomyces stipitis,Scheffersomyces stipitis,Scheffersomyces stipitis
379508,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Lodderomyces|Lodderomyces elongisporus,Lodderomyces elongisporus,Lodderomyces elongisporus
5480,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|mitosporic Saccharomycetales|Candida,Candida,saccharomycetales
5482,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|mitosporic Saccharomycetales|Candida,Candida,Candida tropicalis
237561,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|mitosporic Saccharomycetales|Candida|Candida albicans,Candida albicans,Candida albicans
573826,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|mitosporic Saccharomycetales|Candida|Candida dubliniensis,Candida dubliniensis,saccharomycetales
284590,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Kluyveromyces|Kluyveromyces lactis,Kluyveromyces lactis,Kluyveromyces lactis
284811,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Eremothecium|Eremothecium gossypii,Eremothecium gossypii,saccharomycetaceae
4934,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Lachancea,Lachancea,Lachancea kluyveri
381046,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Lachancea,Lachancea,Lachancea thermotolerans
4914,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Lachancea,Lachancea,saccharomycetaceae
4956,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Zygosaccharomyces,Zygosaccharomyces,Zygosaccharomyces rouxii
436907,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Vanderwaltozyma|Vanderwaltozyma polyspora,Vanderwaltozyma polyspora,Vanderwaltozyma polyspora
27288,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Naumovia,Naumovia,Naumovia castellii
284593,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Nakaseomyces|mitosporic Nakaseomyces|Candida glabrata,Candida glabrata,Candida glabrata
4931,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces,Saccharomyces,Saccharomyces bayanus
114524,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces,Saccharomyces,Saccharomyces kudriavzevii
114525,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces,Saccharomyces,Saccharomyces mikatae
27291,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces,Saccharomyces,Saccharomyces paradoxus
559292,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces|Saccharomyces cerevisiae,Saccharomyces cerevisiae,saccharomycetales
332648,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Leotiomycetes|Helotiales|Sclerotiniaceae|Botryotinia|Botryotinia fuckeliana,Botryotinia fuckeliana,Botryotinia fuckeliana
325569,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Leotiomycetes|Helotiales|Sclerotiniaceae|Sclerotinia|Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,sclerotiniaceae
242507,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Magnaporthales|Magnaporthaceae|Magnaporthe|Magnaporthe oryzae,Magnaporthe oryzae,Magnaporthe oryzae
5116,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Diaporthales|Cryphonectriaceae|Cryphonectria-Endothia complex|Cryphonectria,Cryphonectria,sordariomycetidae
29879,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Sordariaceae|Neurospora,Neurospora,Neurospora discreta
40127,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Sordariaceae|Neurospora,Neurospora,Neurospora tetrasperma
367110,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Sordariaceae|Neurospora|Neurospora crassa,Neurospora crassa,neurospora
5145,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Lasiosphaeriaceae|Podospora,Podospora,Podospora anserina
573728,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Chaetomiaceae|Thielavia|Thielavia heterothallica,Thielavia heterothallica,Myceliophthora thermophila
306901,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Sordariales|Chaetomiaceae|Chaetomium|Chaetomium globosum,Chaetomium globosum,sordariomycetidae
27335,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetes incertae|Phyllachorales|mitosporic Phyllachorales|Verticillium,Verticillium,Verticillium albo-atrum
